date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-07-12,30624.85,30892.66,30268.35,30304.79,30304.789063,14810689536,14810689536,-320.06,-1.05,30488.6,"July 12, 23",-0.0105
2023-07-11,30623.9,31000.0,30200.0,30304.7,30620.951172,12151839152,12151839152,-319.2,-1.04,30624.09,"July 11, 23",-0.0104
2023-07-10,30419.89,30836.0,30304.45,30626.55,30414.470703,14828209155,14828209155,206.66,0.67936,30524.4,"July 10, 23",0.0067936
2023-07-09,30163.76,31060.0,29955.0,30419.89,30171.234375,7903327692,7903327692,256.13,0.84913,30409.23,"July 09, 23",0.0084913
2023-07-08,30294.3,30474.0,30066.95,30168.38,30292.541016,7509378699,7509378699,-125.92,-0.41566,30268.21,"July 08, 23",-0.0041566
2023-07-07,30339.1,30406.0,30047.78,30291.69,30342.265625,13384770155,13384770155,-47.41,-0.15627,30222.85,"July 07, 23",-0.0015627
2023-07-06,29929.0,30469.0,29699.0,30352.08,29909.337891,21129219509,21129219509,423.08,1.41,30199.45,"July 06, 23",0.0141
2023-07-05,30499.27,31631.0,29850.0,29899.38,30514.166016,12481622280,12481622280,-599.89,-1.97,30583.86,"July 05, 23",-0.0197
2023-07-04,30781.9,30898.0,30160.4,30499.27,30777.582031,12810828427,12810828427,-282.63,-0.91817,30489.0,"July 04, 23",-0.0091817
2023-07-03,31145.0,31347.0,30622.6,30771.25,31156.439453,15271884873,15271884873,-373.75,-1.2,30992.01,"July 03, 23",-0.012
2023-07-02,30622.7,31416.0,30569.0,31161.8,30620.769531,10533418042,10533418042,539.1,1.76,30951.33,"July 02, 23",0.0176
2023-07-01,30591.7,30830.0,30165.39,30613.51,30590.078125,9086606733,9086606733,21.81,0.07129385,30535.86,"July 01, 23",0.0007129385
2023-06-30,30475.0,30689.0,30312.8,30587.21,30477.251953,26387306197,26387306197,112.21,0.3682,30524.24,"June 30, 23",0.003682
2023-06-29,30445.67,31300.0,29375.6,30466.72,30445.351563,13180860821,13180860821,21.05,0.06913955,30422.12,"June 29, 23",0.0006913955
2023-06-28,30070.46,30849.0,30036.18,30450.6,30086.246094,14571500779,14571500779,380.14,1.26,30503.45,"June 28, 23",0.0126
2023-06-27,30696.06,30731.0,29834.2,30074.94,30688.164063,16428827944,16428827944,-621.12,-2.02,30246.15,"June 27, 23",-0.0202
2023-06-26,30272.24,31020.54,30223.6,30697.38,30271.130859,16493186997,16493186997,425.14,1.4,30623.59,"June 26, 23",0.014
2023-06-25,30480.24,30685.0,29900.0,30264.2,30480.261719,12703464114,12703464114,-216.04,-0.70879,30276.98,"June 25, 23",-0.0070879
2023-06-24,30547.3,31070.0,30250.0,30480.24,30548.695313,12147822496,12147822496,-67.06,-0.21953,30634.0,"June 24, 23",-0.0021953
2023-06-23,30687.7,30820.0,30254.6,30547.18,30695.46875,24115570085,24115570085,-140.52,-0.4579,30607.18,"June 23, 23",-0.004579
2023-06-22,29886.25,31443.67,29802.65,30707.61,29912.28125,20653160491,20653160491,821.36,2.75,30607.66,"June 22, 23",0.0275
2023-06-21,29999.9,30527.0,29539.57,29886.29,30027.296875,33346760979,33346760979,-113.61,-0.3787,30075.81,"June 21, 23",-0.003787
2023-06-20,28327.53,30801.0,28271.67,29995.18,28327.488281,22211859147,22211859147,1667.65,5.89,29487.16,"June 20, 23",0.0589
2023-06-19,26858.0,28417.11,26637.41,28320.43,26851.029297,12826986222,12826986222,1462.43,5.45,27533.15,"June 19, 23",0.0545
2023-06-18,26336.46,27075.0,26250.0,26837.78,26336.212891,9565695129,9565695129,501.32,1.9,26608.18,"June 18, 23",0.019
2023-06-17,26507.97,26729.0,26245.27,26336.46,26510.675781,11090276850,11090276850,-171.51,-0.64701,26506.44,"June 17, 23",-0.0064701
2023-06-16,26329.6,26857.0,26165.98,26506.56,26327.462891,16324646965,16324646965,176.96,0.6721,26490.99,"June 16, 23",0.006721
2023-06-15,25569.99,26570.0,25140.0,26329.6,25576.394531,15837384409,15837384409,759.61,2.97,25885.16,"June 15, 23",0.0297
2023-06-14,25124.0,25766.0,24750.0,25569.99,25124.675781,14265717766,14265717766,445.99,1.78,25138.17,"June 14, 23",0.0178
2023-06-13,25928.58,26113.0,24818.0,25124.69,25918.728516,14143474486,14143474486,-803.89,-3.1,25537.72,"June 13, 23",-0.031
2023-06-12,25927.0,26455.0,25710.78,25930.23,25902.5,11677889997,11677889997,3.23,0.01245806,26011.46,"June 12, 23",0.0001245806
2023-06-11,25936.97,26125.0,25616.98,25905.82,25940.167969,10732609603,10732609603,-31.15,-0.1201,25859.26,"June 11, 23",-0.001201
2023-06-10,25856.1,26233.0,25648.0,25937.02,25851.240234,19872933189,19872933189,80.92,0.31296,25888.15,"June 10, 23",0.0031296
2023-06-09,26481.98,26556.0,25385.52,25856.1,26480.375,11015551640,11015551640,-625.88,-2.36,25792.57,"June 09, 23",-0.0236
2023-06-08,26505.71,26804.0,26275.4,26482.81,26508.216797,11904824295,11904824295,-22.9,-0.08639648,26526.59,"June 08, 23",-0.0008639648
